I0317 10:52:37.326264     893 libfabric_common.cpp:81] Found device - domain: vethf79f544c, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 10:52:37.326265     893 libfabric_common.cpp:81] Found device - domain: veth9b2b176c, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 10:52:37.326266     893 libfabric_common.cpp:81] Found device - domain: cni0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 10:52:37.326267     893 libfabric_common.cpp:81] Found device - domain: lo, provider=udp;ofi_rxd, ep_type=3, caps=0x108000000013f06
I0317 10:52:37.326268     893 libfabric_common.cpp:81] Found device - domain: lo, provider=udp;ofi_rxd, ep_type=3, caps=0x108000000013f06
I0317 10:52:37.326269     893 libfabric_common.cpp:81] Found device - domain: ens22np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 10:52:37.326270     893 libfabric_common.cpp:81] Found device - domain: ens12np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 10:52:37.326272     893 libfabric_common.cpp:81] Found device - domain: ens21np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 10:52:37.326273     893 libfabric_common.cpp:81] Found device - domain: ens11np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 10:52:37.326274     893 libfabric_common.cpp:81] Found device - domain: ens42np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 10:52:37.326275     893 libfabric_common.cpp:81] Found device - domain: ens32np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 10:52:37.326276     893 libfabric_common.cpp:81] Found device - domain: ens41np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 10:52:37.326277     893 libfabric_common.cpp:81] Found device - domain: ens31np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 10:52:37.326278     893 libfabric_common.cpp:81] Found device - domain: ens22np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 10:52:37.326279     893 libfabric_common.cpp:81] Found device - domain: ens12np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 10:52:37.326280     893 libfabric_common.cpp:81] Found device - domain: ens21np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 10:52:37.326281     893 libfabric_common.cpp:81] Found device - domain: ens11np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
