I0317 11:12:08.203068     274 libfabric_common.cpp:81] Found device - domain: ens31np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203070     274 libfabric_common.cpp:81] Found device - domain: ens22np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203071     274 libfabric_common.cpp:81] Found device - domain: ens12np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203072     274 libfabric_common.cpp:81] Found device - domain: ens21np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203073     274 libfabric_common.cpp:81] Found device - domain: ens11np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203075     274 libfabric_common.cpp:81] Found device - domain: ens42np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203076     274 libfabric_common.cpp:81] Found device - domain: ens32np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203077     274 libfabric_common.cpp:81] Found device - domain: ens41np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203078     274 libfabric_common.cpp:81] Found device - domain: ens31np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203079     274 libfabric_common.cpp:81] Found device - domain: flannel.1, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203080     274 libfabric_common.cpp:81] Found device - domain: vlan1401, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203082     274 libfabric_common.cpp:81] Found device - domain: ens51np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203083     274 libfabric_common.cpp:81] Found device - domain: flannel.1, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203084     274 libfabric_common.cpp:81] Found device - domain: ens51np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203085     274 libfabric_common.cpp:81] Found device - domain: vlan1401, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203086     274 libfabric_common.cpp:81] Found device - domain: cni0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203087     274 libfabric_common.cpp:81] Found device - domain: vethc924435f, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203089     274 libfabric_common.cpp:81] Found device - domain: vethe29b4b2e, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203090     274 libfabric_common.cpp:81] Found device - domain: veth4e77d7d4, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203091     274 libfabric_common.cpp:81] Found device - domain: cni0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203093     274 libfabric_common.cpp:81] Found device - domain: lo, provider=tcp;ofi_rxm, ep_type=3, caps=0x8000000013f06
I0317 11:12:08.203094     274 libfabric_common.cpp:81] Found device - domain: lo, provider=tcp;ofi_rxm, ep_type=3, caps=0x8000000013f06
I0317 11:12:08.203096     274 libfabric_common.cpp:81] Found device - domain: ens22np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
